Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Week 1,Week2 ,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
2018,ILLINOIS,17,WEST,30,ADAMS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,SOUTHWEST,80,ALEXANDER,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,NORTHEAST,20,BOONE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,WEST,30,BROWN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,NORTHWEST,10,BUREAU,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,NORTHWEST,10,CARROLL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,WEST SOUTHWEST,60,CASS,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,EAST,50,CHAMPAIGN,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,WEST SOUTHWEST,60,CHRISTIAN,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLARK,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLAY,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,SOUTHWEST,80,CLINTON,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ILLINOIS,17,EAST SOUTHEAST,70,COLES,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,42,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
